TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
10-07-2026,10-07-2026,CM,BSE,STK,532354,INE400B01020,VIRGOGLOB,XT,,,,,Virgo Global Limited,5.16,5.2,5.16,5.16,5.16,5.26,,5.16,,,158,817,6,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532356,INE256C01024,TRIVENI,A,,,,,TRIVENI ENGINEERING & INDUSTRI,457.25,463.8,457,462,460.9,455.05,,462.4,,,9734,4486415,326,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532359,INE309B01023,HITKITGLO,X,,,,,HIT KIT GLOBAL SOLUTIONS LTD.,2.15,2.15,2.05,2.05,2.05,2.15,,2.05,,,202837,419864,168,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532362,INE099E01016,NAGPI,X,,,,,NAGPUR POWER & INDUSTRIES LTD.,150,155.05,146,149.35,152,146.05,,149.35,,,5489,824261,67,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532365,INE417B01040,DSSL,B,,,,,DYNACONS SYSTEMS & SOLUTIONS L,1329.2,1347.9,1286.15,1322.65,1326.4,1288.85,,1325,,,2074,2742465,252,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532366,INE859A01011,PNBGILTS,B,,,,,PNB GILTS LTD.,87.45,89.17,87.45,87.94,87.97,87.45,,87.82,,,30069,2655920,312,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532368,INE425B01027,BCG,B,,,,,BRIGHTCOM GROUP LIMITED,9.48,9.75,9.48,9.52,9.55,9.43,,9.52,,,356715,3418910,625,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532369,INE614A01028,RAMCOIND,B,,,,,RAMCO INDUSTRIES LTD.,373.5,374.95,364,367.9,367.9,368.5,,367.75,,,17063,6299722,547,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532370,INE246B01019,RAMCOSYS,B,,,,,RAMCO SYSTEMS LTD.,852.95,860.15,797.75,805.6,805.6,835,,805.6,,,104036,86669449,2743,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532371,INE517B01013,TTML,A,,,,,TATA TELESERVICES (MAHARASHTRA,40.71,41.8,40.71,41.26,41.24,40.54,,41.28,,,157430,6504028,1097,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532372,INE539B01017,VIRINCHI,B,,,,,Virinchi Limited,15.34,16.34,15.34,16.18,16.25,15.33,,16.04,,,9882,158658,117,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532373,INE434B01029,WEPSOLN,X,,,,,WEP SOLUTIONS LTD.,24.15,25.33,24.15,25.01,25.29,24.83,,25.01,,,5189,129733,21,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532374,INE089C01029,STLTECH,T,,,,,STERLITE TECHNOLOGIES LTD.,554,554,531.65,541.8,541.8,551.25,,543.05,,,48793,26436164,1349,F1,1,,,,,
